60.12,124.23,176.88,1034.86
64.76,83.85,186.01,922.06
15.33,80.07,133.57,649.24
77.9,85.63,134.59,855.73
51.74,115.49,197.72,1033.27
3.04,93.23,198.73,806.46
51.94,72.73,114.8,703.19
4.71,147.11,194.14,1000.01
51.36,69.35,184.26,794.65
82.48,137.65,153.17,1126.04
8.31,142.44,187.07,982.03
45.9,89.15,164.86,844.65
94.61,93.25,164.12,1007.96
80.57,116.07,156.35,1040.69
5.81,98.93,118.74,676.69
86.58,145.78,103.41,1072.74
69.16,133.36,154.33,1061.0
5.22,108.19,167.7,809.88
71.67,119.48,117.97,926.45
8.0,120.61,198.73,915.87
23.19,104.73,147.0,806.95
48.17,135.77,150.73,1017.4
33.98,109.77,162.22,876.7
54.37,54.22,166.57,711.09
36.49,62.11,181.23,713.76
65.52,103.35,168.85,940.73
93.82,143.79,196.18,1254.81
8.49,133.89,163.69,880.38
77.78,118.34,113.83,934.61
80.2,62.88,178.24,840.74
61.87,89.67,116.9,776.51
73.6,56.98,115.03,685.4
67.33,92.98,163.6,900.72
83.81,144.47,114.36,1083.67
26.87,55.51,121.05,539.49
59.36,54.78,125.84,674.58
93.63,95.47,196.24,1056.76
72.72,60.24,195.42,848.56
5.8,65.33,122.45,522.26
37.25,106.2,103.05,736.94
4.66,127.41,169.35,856.46
13.06,111.97,126.2,747.16
48.2,136.49,110.65,929.03
60.37,134.97,197.19,1124.47
90.84,64.48,113.59,784.27
60.68,76.31,124.83,750.7
28.93,125.58,136.61,871.91
95.23,86.2,166.35,981.55
24.14,132.33,195.16,998.99
14.06,56.7,170.24,619.04
94.9,96.53,198.0,1076.11
79.17,117.02,146.15,995.57
78.25,94.98,116.85,874.95
72.67,93.23,192.32,1002.8
4.68,94.12,122.58,639.04
4.58,53.73,192.51,605.63
58.08,144.2,145.8,1062.21
90.92,74.16,108.67,790.37
71.25,119.13,133.94,960.33
48.54,103.81,123.87,804.86
72.1,138.88,114.89,1015.36
39.58,123.61,100.65,818.03
11.13,119.44,165.1,842.05
1.43,117.52,105.13,679.36
85.65,123.95,140.52,1032.62
68.45,142.06,155.98,1084.66
24.8,103.42,181.62,875.68
75.96,133.76,111.12,999.96
76.01,103.81,154.89,979.15
18.26,131.08,126.11,832.45
40.92,99.14,178.17,890.67
