25.78,142.08
94.9,479.81
41.49,218.64
6.19,41.75
94.27,477.63
50.54,260.16
9.84,63.63
82.62,423.0
81.63,414.29
71.48,365.39
94.27,478.76
34.85,181.7
60.42,315.74
51.3,269.18
48.73,252.08
58.76,302.13
27.25,142.62
37.37,194.61
27.63,147.17
83.42,427.03
40.12,212.92
49.61,260.02
76.78,393.68
58.74,305.65
89.58,455.18
76.82,396.89
51.63,269.4
40.38,210.34
23.81,127.9
50.31,262.56
15.61,83.83
42.26,217.42
36.65,194.96
15.86,91.19
29.35,155.82
89.78,462.91
6.54,39.04
14.34,83.91
47.75,244.93
74.69,384.06
89.56,454.2
36.64,188.84
8.19,48.57
66.41,338.2
33.06,172.41
70.76,366.11
45.71,236.76
81.95,422.33
66.31,338.81
38.25,204.93
30.15,165.06
52.0,272.68
44.89,239.26
40.49,211.89
27.85,147.85
43.57,229.83
34.49,185.52
33.0,176.54
25.13,139.12
27.27,142.84
20.17,109.05
88.75,454.65
76.46,395.92
42.49,223.47
4.38,33.6
44.94,238.64
18.05,101.37
70.8,359.66
5.12,36.86
8.47,51.04
34.72,187.25
78.31,397.54
62.66,320.21
8.65,53.27
25.53,140.84
90.8,459.26
50.62,259.79
68.76,353.9
99.97,511.69
17.88,100.23
17.92,97.54
81.18,411.51
54.65,284.73
21.15,112.83
89.68,463.03
58.85,307.75
51.27,262.38
51.99,269.21
61.48,315.17
90.11,458.3
47.06,242.12
64.63,335.62
81.97,417.3
38.73,207.19
64.11,327.14
65.99,338.15
70.17,356.52
56.06,292.28
79.86,409.61
18.14,105.46
4.62,33.95
85.58,441.96
44.66,236.58
99.08,508.46
4.74,30.89
89.18,455.02
95.25,482.1
74.72,385.49
73.84,383.74
87.47,447.89
52.45,271.91
6.52,45.69
59.36,309.64
45.68,241.13
45.44,236.01
92.62,477.29
22.8,128.65
75.82,390.57
65.61,342.04
73.74,374.33
82.99,422.61
30.32,162.83
61.06,311.29
34.07,177.59
71.81,365.26
66.55,343.27
4.57,35.66
27.77,145.65
80.54,413.38
24.08,126.96
50.23,265.78
19.61,111.28
11.23,62.9
89.7,456.16
3.0,20.79
1.62,20.41
21.22,119.38
47.6,247.54
66.55,343.05
1.2,14.7
89.98,455.24
64.57,335.74
9.02,59.38
76.31,390.64
81.25,420.64
93.91,477.38
24.78,133.81
11.67,63.41
48.81,258.03
10.15,59.04
21.43,119.48
28.5,151.65
51.67,263.62
77.04,399.81
31.96,173.06
18.96,107.83
36.47,193.42
11.31,66.19
82.93,426.5
16.24,87.67
35.61,186.15
83.92,430.33
55.5,288.4
40.85,216.12
4.28,26.47
27.21,150.79
65.55,334.6
20.09,107.85
23.58,123.17
76.82,395.25
57.68,301.95
30.73,163.81
41.08,212.27
2.0,15.74
37.02,194.47
91.98,469.19
2.31,23.0
23.56,126.93
10.3,66.01
91.41,465.07
44.67,229.9
2.58,21.48
29.4,154.76
56.42,292.11
61.24,313.96
32.32,166.86
82.05,424.3
56.09,286.27
40.55,208.8
95.22,481.14
42.05,219.93
73.78,380.67
45.37,233.61
98.9,499.88
77.74,395.61
24.57,133.25
96.25,491.35
72.89,378.31
31.52,169.61
7.08,43.55
80.52,415.5
44.26,236.17
8.05,48.61
